Rank,Curated Title,Date,Impressions,Likes,Engagements,Bookmarks,Shares,Replies,Reposts,Profile Visits,Detail Expands,URL Clicks,Post URL,Post ID,Post Text
31,Microsoft MCP sample + Azure Container Apps deploy,2025-06-08,2824,53,135,23,2,1,12,9,35,0,https://x.com/LearnerBR/status/1931714374512881858,1931714374512881858,"마이크로소프트의 공식 MCP 샘플을 사용하여 직접 만들어보는 일정 관리 MCP! 그리고 명령어 한번만으로 Azure 컨테이너 앱애 배포까지. 6월 24일에 깃헙 코파일럿 에이전트 모드를 사용한 핸즈온 실습 워크샵을 진행합니다. 꽤 많은 회사들이 AI 때문에 Azure로 일부 인프라를 교체하거나, https://t.co/bvX8oPs6AH"
32,Microsoft Data & AI Specialist book recommendation,2025-08-08,2645,55,180,49,13,3,10,12,62,0,https://x.com/LearnerBR/status/1953708491820130554,1953708491820130554,"아아아 AI 이제 못다루면 못살아남는다구!! 그럼 어디서부터 공부/시작 해야할까? MCP 연동해서 내 AI 똑똑하게 만드는것부터 시작하지 않아야 할까? 그런 맥락에서 나온 도서가 있어서 소개해드립니다. 무려 한.국.은.행 출신, 현직 마이크로소프트 Data &amp; AI Specialist인 서지영 저자님의 https://t.co/SoLmHcM9OU"
33,GitHub Copilot coding agent on issues/PRs,2025-06-25,2444,9,25,5,0,1,0,1,14,0,https://x.com/LearnerBR/status/1937798716515291196,1937798716515291196,깃헙 이슈에 에이전트 할당하면 draft상태의 PR만들고 알아서 작업해주는 깃헙 코딩에이전트 리뷰 남기면 리뷰에 맞게 수정도 해줌. 깃헙 플랫폼 내 UI 곳곳에서 작업 할당 가능 개인 구독은 Pro+ 에서만 사용가능하고 아직 프리뷰여서 별도 설정을 해야 활성화됨 활성화 방법과 실제 PR 작업
34,GitHub Actions inline-prompt feature,2025-12-03,2409,39,390,18,0,3,4,3,37,36,https://x.com/LearnerBR/status/1996228729690038735,1996228729690038735,깃헙 액션 job 안에서 프롬프트 돌릴 수 있습니다.. 하.. 어디까지 가는거니 이세상이여~~ https://t.co/Q2Js9pJRcL https://t.co/5O1ZKZNrUn
35,VS Code Multi-root Workspace for multi-agent,2026-01-11,2406,29,111,25,3,4,2,10,39,26,https://x.com/LearnerBR/status/2010294302984048753,2010294302984048753,"멀티 루트 워크스페이스 for 멀티 에이전트 1. 한 프로젝트에서 멀티 에이전트 돌리기 2. 한 제품 아래에 있는 여러 저장소에 각각 에이전트 돌리기 2의경우 컨텍스트 파편화때문에 작업이 좀 불편한데, 오우... 이 문제 보완해주는 기능이 VS Code에 있었네. Multi-root Workspace!!! &gt; You can"
36,GitHub Copilot CLI GA,2026-02-25,2281,8,26,1,0,2,1,0,15,0,https://x.com/LearnerBR/status/2026805413786825154,2026805413786825154,"코파일럿 CLI가 드디어 GA로! 달리시져, 엔터프라이즈 행님들🥳"
37,Microsoft global team × MegazoneCloud agent hackathon,2026-03-17,2220,15,107,6,3,1,4,9,24,0,https://x.com/LearnerBR/status/2033841623441018881,2033841623441018881,"마이크로소프트 글로벌 팀 @justinchronicle 님과 메가존 클라우드의 에이스 아키텍트들이 출격합니다. 단 1일, 아이디어를 AI 기반 제품으로 만들 수 있게 도와드리겠습니다. 개발팀 리더, 창의적인 실무자(개발자, 기획자, 디자이너), 혁신을 주도하는 PM/PO 모두 오세요! https://t.co/0sIER29Zop"
38,Microsoft Build / Ignite as authoritative source,2025-05-13,2078,8,22,1,0,0,0,5,9,0,https://x.com/LearnerBR/status/1922238388683383201,1922238388683383201,"마이크로소프트 양대 행사 5월 빌드(19일~22일) 11월 이그나이트 이거 가급적이면 봐야 좋습니다. 약팔이(출처 없이 내가 만든거, 내가 만든 용어라고 말하고 다니는 사람들) 걸러내려면요. 참고: 저도 지식 보따리상이긴 한데, 제가 출처없이 내꺼라고 주장하면 회초리로 때려주세요 🤣🤣"
39,VS Code release cadence accelerates to weekly,2026-03-07,2067,20,84,6,0,1,2,3,32,0,https://x.com/LearnerBR/status/2030324855653167596,2030324855653167596,(제대로 된 팀이 만드는) 모든 제품들의 개발 속도가 제이커브를 그리고 있다. 10년간 월 배포를 진행하던 비주얼 스튜디오 코드가 차주부터 배포 텀을 '주'로 줄인다. VS Code 인사이더는 거의 매일 배포한다. 이미 백만명이 인사이더를 사용중이고. 나도 코드 봐야할때는 인사이더 주로 https://t.co/kKaJQnY1cl
40,GitHub is a Microsoft product — speaker support,2025-10-12,2029,17,48,4,0,0,1,13,17,0,https://x.com/LearnerBR/status/1977331581661729208,1977331581661729208,깃헙도 Microsoft 제품인거 아시죠? 깃헙상에서 하는 모든 행위들(CodeRabbit 붙여서 자동 코드리뷰 시스템 도입하기 등)에 대한 이야기 궁금합니다! 여성 발표자분들도 오시면 좋겠습니다. 제가 발표날까지 계속 서포트해드릴게요!
